127.0.0.1 - - [28/May/2021:22:04:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/May/2021:22:04:43 +0900] "GET /spring/ HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/May/2021:22:04:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/May/2021:22:04:48 +0900] "GET /spring/login.action HTTP/1.1" 200 5221
0:0:0:0:0:0:0:1 - - [28/May/2021:22:04:48 +0900] "GET /spring/resources/js/jquery-1.12.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:22:04:48 +0900] "GET /spring/resources/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:22:04:48 +0900] "GET /spring/resources/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:22:04:48 +0900] "GET /spring/resources/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:22:04:48 +0900] "GET /spring/resources/images/Qoo10_Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:22:04:48 +0900] "GET /spring/resources/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:22:04:49 +0900] "GET /spring/resources/images/adver/baemin_01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:22:04:53 +0900] "POST /spring/loginVerification.action HTTP/1.1" 200 5488
0:0:0:0:0:0:0:1 - - [28/May/2021:22:04:53 +0900] "GET /spring/resources/images/adver/gucci_01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2021:22:04:59 +0900] "POST /spring/loginVerification.action HTTP/1.1" 200 5181
0:0:0:0:0:0:0:1 - - [28/May/2021:22:04:59 +0900] "GET /spring/resources/images/adver/ HTTP/1.1" 404 853
